Date,Open,High,Low,Close,Volume
2005-10-12,1089.84,1096.99,1085.04,1086.14,769352896
2005-10-13,1086.16,1086.44,1076.15,1077.33,529376512
2005-10-14,1074.52,1077.49,1068.2,1069.48,413090304
2005-12-13,1073.21,1075.74,1061.1,1061.1,914578176
2005-12-14,1063.58,1066.58,1056.98,1062.94,893100032
2005-12-15,1066.15,1067.55,1055.81,1056.42,1412041600
2005-12-16,1057.73,1057.73,1049.26,1057.14,1231873664
2005-12-19,1055.51,1060.49,1051.91,1056.13,1136636416
2005-12-20,1054.78,1069.97,1054.3,1069.97,1020665024
2005-12-21,1073.64,1075.7,1067.54,1069.19,1090266880
2005-12-22,1068.12,1071.39,1064.08,1065.46,597641792
2005-12-23,1068.31,1074.05,1066.29,1068.98,714628288
2005-12-26,1070.72,1075.12,1068.37,1073.93,551052992
2005-12-27,1076.51,1083.73,1075.0,1082.37,782430912
2005-12-28,1083.13,1083.41,1074.33,1079.34,649397120
2005-12-29,1080.18,1092.51,1079.8,1087.41,982758592
2005-12-30,1090.81,1093.97,1086.28,1092.64,1171220352
2006-01-03,1092.15,1110.45,1092.15,1110.45,1030964992
2006-01-04,1122.22,1145.39,1122.22,1141.65,2881268992
2006-01-05,1153.65,1158.07,1136.8,1138.72,2812003584
2006-01-06,1143.32,1149.07,1130.84,1148.32,1824188928
2006-01-09,1151.16,1175.73,1151.16,1175.73,3297968128
2006-01-10,1180.79,1183.8,1167.88,1170.63,2829575424
2006-01-11,1170.05,1174.6,1154.51,1174.6,2646907136
2006-01-12,1174.25,1174.25,1147.18,1156.2,3233972224
2006-01-13,1157.6,1166.92,1152.62,1158.97,3030189568
2006-01-16,1154.93,1155.13,1140.58,1154.73,2111327104
2006-01-17,1158.14,1160.7,1146.04,1153.59,2533501696
2006-01-18,1151.88,1151.88,1127.19,1129.66,2100095232
2006-01-19,1133.11,1145.14,1130.72,1142.7,1871688960
2006-01-20,1150.61,1155.53,1145.86,1147.36,2414951424
2006-01-23,1139.05,1152.12,1136.9,1152.12,2617176832
2006-01-24,1146.68,1153.61,1144.22,1144.22,1562725632
2006-01-25,1151.06,1175.77,1151.0,1173.14,2294472448
2006-01-26,1177.58,1184.44,1170.01,1170.01,1922357760
2006-01-27,1177.35,1177.35,1166.32,1170.85,1353608832
2006-01-30,1175.71,1175.71,1161.19,1163.46,1377149440
2006-01-31,1168.48,1175.17,1166.85,1174.61,1042801728
2006-02-01,1176.86,1177.17,1168.46,1172.98,1190592128
2006-02-02,1166.84,1166.84,1143.78,1148.72,1840020864
2006-02-03,1140.44,1158.5,1136.19,1150.12,1180517760
2006-02-06,1153.25,1155.14,1130.79,1145.08,989615680
2006-02-07,1145.04,1147.01,1138.91,1142.53,909016128
2006-02-08,1141.25,1142.89,1126.71,1126.71,1331141376
2006-02-09,1128.34,1129.44,1115.05,1124.67,1270405248
2006-02-10,1127.09,1135.35,1126.79,1132.82,937548800
2006-02-14,1124.46,1124.46,1108.78,1115.64,1184314112
2006-02-15,1113.51,1120.18,1110.97,1111.63,804940224
2006-02-16,1112.87,1130.07,1107.32,1126.21,1414855296
2006-02-17,1134.77,1136.28,1126.91,1133.91,802019968
2006-02-20,1128.76,1128.76,1116.13,1128.41,920975808
2006-02-21,1125.95,1130.53,1116.16,1116.16,573798528
2006-02-22,1116.13,1123.82,1114.77,1116.92,839223424
2006-02-23,1119.83,1127.64,1117.36,1123.33,913356800
2006-02-24,1123.63,1137.89,1122.98,1137.89,1320099456
2006-02-27,1140.13,1158.4,1129.1,1157.3,1644607488
2006-02-28,1146.55,1152.73,1140.78,1142.59,1126826624
2006-03-01,1135.13,1155.49,1135.13,1149.85,1091060352
2006-03-02,1157.41,1163.04,1155.35,1157.19,1088184704
2006-03-03,1161.56,1167.44,1157.43,1159.82,856744192
2006-03-06,1159.95,1161.06,1153.9,1154.98,567548800
2006-03-07,1152.83,1154.36,1132.53,1133.89,777642816
2006-03-08,1125.45,1125.45,1107.67,1107.81,799949888
2006-03-09,1107.7,1123.01,1102.38,1117.13,869273920
2006-03-10,1117.1,1119.33,1113.84,1115.25,538215104
2006-03-13,1113.5,1122.75,1112.14,1122.57,498790304
2006-03-14,1119.89,1133.39,1118.95,1133.39,536461504
2006-03-15,1130.65,1136.45,1128.97,1136.45,1030482816
2006-03-16,1141.21,1141.62,1132.68,1133.84,1155396608
2006-03-17,1134.5,1137.91,1126.09,1133.03,901639296
2006-03-20,1131.19,1131.49,1120.24,1120.89,550691712
2006-03-21,1117.64,1123.8,1116.43,1116.43,735362496
2006-03-22,1115.84,1119.86,1102.62,1102.62,1108949504
2006-03-23,1105.68,1114.16,1105.32,1112.04,677157696
2006-03-24,1113.54,1118.87,1108.41,1113.67,767358592
2006-03-27,1113.1,1117.8,1112.48,1117.16,826558208
2006-03-28,1116.7,1117.08,1108.82,1108.82,637810112
2006-03-29,1110.13,1113.4,1098.56,1100.72,608669568
2006-03-30,1103.63,1109.3,1098.33,1109.3,1009772800
2006-03-31,1109.54,1117.64,1109.37,1113.58,1255018368
