Date,Open,High,Low,Close,Volume
1984-01-03,11.4345,11.4345,11.4345,11.4345,603
1984-01-04,11.284,11.284,11.284,11.284,603
1984-01-05,11.284,11.284,11.284,11.284,16321
1984-01-06,11.284,11.284,11.284,11.284,4684
1984-01-09,11.284,11.284,11.284,11.284,1264
1984-01-11,11.284,11.284,11.284,11.284,7911
1984-01-12,10.6822,10.6822,10.3813,10.6822,217309
1984-01-13,10.9079,10.9079,10.9079,10.9079,1942
1984-01-16,10.9079,10.9079,10.9079,10.9079,57111
1984-01-17,10.9079,10.9079,10.9079,10.9079,98345
1984-01-20,10.9079,10.9079,10.9079,10.9079,2600
1984-01-23,10.8327,10.8327,10.8327,10.8327,3133
1984-01-26,10.6822,10.6822,10.6822,10.6822,3936
1984-01-30,10.607,10.607,10.607,10.607,5255
1984-02-02,10.5318,10.5318,10.5318,10.5318,3419
1984-02-03,10.3813,10.3813,10.3813,10.3813,1264
1984-02-07,10.3061,10.3061,10.1556,10.1556,26869
1984-02-08,10.4566,10.5318,10.4566,10.5318,1637
1984-02-14,10.3813,10.3813,10.3813,10.3813,1156
1984-02-20,10.3813,10.3813,10.3813,10.3813,115594
1984-02-22,10.5318,10.607,10.5318,10.607,3936
1984-02-24,10.607,10.9079,10.607,10.6822,55774
1984-02-27,10.9079,10.9079,10.9079,10.9079,14575
1984-03-02,10.9079,10.9079,10.8327,10.8327,3241
1984-03-08,10.3813,10.3813,10.3813,10.3813,66411
1984-03-12,10.1556,10.1556,10.1556,10.1556,2600
1984-03-13,10.1556,10.1556,10.1556,10.1556,2600
1984-03-14,10.0804,10.0804,9.9299,9.9299,5255
1984-03-19,10.0052,10.0052,10.0052,10.0052,2600
1984-03-22,10.0052,10.0052,10.0052,10.0052,11242
1984-03-27,10.0804,10.0804,10.0804,10.0804,1264
1984-03-28,10.0052,10.0052,10.0052,10.0052,603
1984-03-30,10.0052,10.0052,10.0052,10.0052,13237
1984-04-02,10.0052,10.0052,10.0052,10.0052,6591
1984-04-09,9.9299,9.9299,9.9299,9.9299,5255
1984-04-10,9.8547,9.8547,9.7795,9.7795,5255
1984-04-11,9.7795,9.7795,9.7795,9.7795,10584
1984-04-18,9.5538,9.5538,9.5538,9.5538,2600
1984-04-19,9.2529,9.2529,8.6511,9.1025,134180
1984-04-20,9.1025,9.3282,9.1025,9.3282,138208
1984-04-23,9.3282,9.4786,9.3282,9.4786,75643
1984-04-24,9.4786,9.4786,9.4033,9.4786,21239
1984-04-25,9.4786,9.629,9.4786,9.629,106772
1984-04-26,9.629,9.629,9.5538,9.629,45172
1984-04-27,9.4786,9.4786,9.4033,9.4786,8924
1984-04-30,9.4033,9.4033,9.3282,9.3282,27191
1984-05-02,9.2529,9.2529,9.2529,9.2529,5255
1984-05-03,9.4033,9.4033,9.4033,9.4033,105
1984-05-08,9.2529,9.2529,9.2529,9.2529,3936
1984-05-09,9.2529,9.2529,9.2529,9.2529,12578
1984-05-10,9.2529,9.2529,9.2529,9.2529,3936
1984-05-11,9.2529,9.2529,9.2529,9.2529,110944
1984-05-15,9.2529,9.2529,9.2529,9.2529,3936
1984-05-16,9.2529,9.2529,9.2529,9.2529,1264
1984-05-17,9.2529,9.2529,9.2529,9.2529,13237
1984-05-18,9.3282,9.3282,9.3282,9.3282,5913
1984-05-21,9.2529,9.2529,9.2529,9.2529,134875
1984-05-22,9.2529,9.2529,9.2529,9.2529,31201
1984-05-23,9.2529,9.2529,9.2529,9.2529,66411
1984-05-24,9.2529,9.2529,9.2529,9.2529,282
1984-05-25,9.2529,9.3282,9.2529,9.3282,31859
1984-05-29,9.2529,9.2529,9.2529,9.2529,10940
1984-05-31,9.2529,9.3282,9.1776,9.3282,31859
1984-06-04,9.1776,9.1776,9.1776,9.1776,4594
1984-06-06,9.1776,9.1776,9.1776,9.1776,603
1984-06-07,9.1776,9.1776,9.1025,9.1025,13237
1984-06-08,9.1025,9.1025,9.1025,9.1025,2741
1984-06-11,9.1025,9.1025,9.0272,9.0272,33837
1984-06-12,9.1025,9.1025,9.1025,9.1025,1264
1984-06-14,9.1776,9.1776,9.1776,9.1776,2600
1984-06-15,9.1776,9.1776,9.1776,9.1776,2600
1984-06-19,9.1776,9.1776,9.1776,9.1776,5255
1984-06-20,9.1025,9.1025,9.0272,9.0272,34568
1984-06-21,9.0272,9.0272,9.0272,9.0272,10584
1984-06-25,9.0272,9.0272,9.0272,9.0272,3668
1984-06-29,9.1025,9.4033,9.1025,9.4033,3241
1984-07-04,9.1025,9.1025,9.0272,9.0272,21239
1984-07-06,9.0272,9.0272,9.0272,9.0272,1264
1984-07-10,9.0272,9.0272,9.0272,9.0272,3936
1984-07-12,9.1025,9.1025,9.1025,9.1025,2600
1984-07-16,9.1025,9.1025,9.1025,9.1025,15911
1984-07-17,9.0272,9.0272,9.0272,9.0272,1440
1984-07-18,9.1025,9.1025,9.1025,9.1025,47809
1984-07-19,9.1025,9.1025,9.1025,9.1025,2600
1984-07-20,9.1025,9.1025,9.1025,9.1025,5255
